original_path,target_path,category,subcategory,extension,size_bytes,migrated_at,verified
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/.git","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/.git","PROJECTS","CIA_SIE_PURE","folder",631,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/.github","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/.github","PROJECTS","CIA_SIE_PURE","folder",4,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/.venv","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/.venv","PROJECTS","CIA_SIE_PURE","folder",8095,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/.cursor","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/.cursor","PROJECTS","CIA_SIE_PURE","folder",1,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/.pytest_cache","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/.pytest_cache","PROJECTS","CIA_SIE_PURE","folder",5,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/.ruff_cache","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/.ruff_cache","PROJECTS","CIA_SIE_PURE","folder",5,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/cia_sie.egg-info","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/cia_sie.egg-info","PROJECTS","CIA_SIE_PURE","folder",5,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_GOVERNANCE","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/00_GOVERNANCE","PROJECTS","CIA_SIE_PURE","folder",7,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_MASTER_DOCUMENTS","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/00_MASTER_DOCUMENTS","PROJECTS","CIA_SIE_PURE","folder",3,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/01_GOLD_STANDARD","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/01_GOLD_STANDARD","PROJECTS","CIA_SIE_PURE","folder",103,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/02_CRITICAL_DOCUMENTS","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/02_CRITICAL_DOCUMENTS","PROJECTS","CIA_SIE_PURE","folder",26,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/03_COWORK_PACKAGES","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/03_COWORK_PACKAGES","PROJECTS","CIA_SIE_PURE","folder",11,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/04_DOCUMENTATION","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/04_DOCUMENTATION","PROJECTS","CIA_SIE_PURE","folder",160,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/05_ARCHITECTURE","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/05_ARCHITECTURE","PROJECTS","CIA_SIE_PURE","folder",20,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/06_SOURCE_CODE","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/06_SOURCE_CODE","PROJECTS","CIA_SIE_PURE","folder",142,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/07_TESTING","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/07_TESTING","PROJECTS","CIA_SIE_PURE","folder",196,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/08_DATA","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/08_DATA","PROJECTS","CIA_SIE_PURE","folder",3,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/09_LOGS_AND_HISTORY","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/09_LOGS_AND_HISTORY","PROJECTS","CIA_SIE_PURE","folder",8,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/10_UTILITIES","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/10_UTILITIES","PROJECTS","CIA_SIE_PURE","folder",3,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/99_ARCHIVE","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/99_ARCHIVE","PROJECTS","CIA_SIE_PURE","folder",5,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/cycle-results","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/cycle-results","PROJECTS","CIA_SIE_PURE","folder",0,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/data","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/data","PROJECTS","CIA_SIE_PURE","folder",1,"2026-01-31T08:53:41Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/logs","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/PROJECTS/CIA_SIE_PURE/logs","PROJECTS","CIA_SIE_PURE","folder",0,"2026-01-31T08:53:41Z","true"
"generated","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/ASSETS/Diagrams/DIAGRAM_CATALOG.md","ASSETS","Diagrams","md",1208,"2026-01-31T08:54:48Z","true"
"generated","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/DATA/Serialized/DATA_FILE_CATALOG.md","DATA","Serialized","md",1190,"2026-01-31T08:59:20Z","true"
"generated","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/EXECUTABLES/Binaries/EXECUTABLE_CATALOG.md","EXECUTABLES","Binaries","md",906,"2026-01-31T09:02:22Z","true"
"generated","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/DOCUMENTATION/DOCUMENTATION_CATALOG.md","DOCUMENTATION","","md",1292,"2026-01-31T09:04:56Z","true"
"generated","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/TEMPLATES/TEMPLATES_CATALOG.md","TEMPLATES","","md",673,"2026-01-31T09:06:07Z","true"
